myear,oem,model,gear_box,seats,steering_type,no_of_cylinder,super_charger,top_speed,max_power_delivered,max_torque_delivered,feature_score,selling_price
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,370000.0
2015,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,365000.0
2015,honda,honda amaze,5 speed,5,power,4,0,160,86.7,109.0,24,421000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,240000.0
2022,maruti,maruti ertiga,5 speed,7,power,4,1,165,86.63,121.5,21,1175000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,250000.0
2010,maruti,maruti alto,5 speed,5,power,3,0,137,38.4,62.0,13,145000.0
2017,hyundai,hyundai grand i10,5 speed,5,power,4,0,165,65.39,98.0,21,465000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,560000.0
2011,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,215000.0
2018,maruti,maruti celerio,5 speed,5,power,3,0,150,58.33,78.0,24,425000.0
2019,maruti,maruti celerio,5 speed,5,power,3,0,150,58.33,78.0,24,380000.0
2017,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,795000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,350000.0
2022,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,650000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,599000.0
2014,hyundai,hyundai grand i10,5 speed,5,power,4,0,165,82.0,114.0,24,425000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,317736.0
2020,maruti,maruti ertiga tour,5 speed,7,power,4,1,165,91.18,122.0,19,1000000.0
2014,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,317400.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,250000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,380000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,600000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,325000.0
2021,maruti,maruti swift dzire tour,5 speed,5,power,4,0,165,70.4,95.0,23,600000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,613000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,285000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,424999.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,613000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,250000.0
2020,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,600000.0
2017,maruti,maruti eeco,5 speed,5,manual,4,0,145,63.0,83.0,11,341000.0
2017,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,439112.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,200000.0
2006,hyundai,hyundai santro,5 speed,5,power,4,1,165,88.5,200.0,0,90000.0
2020,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,534000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,395000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,385000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,250000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,325000.0
2010,maruti,maruti estilo,5 speed,5,power,3,0,145,67.1,90.0,17,195000.0
2016,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,600000.0
2017,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,350000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,305000.0
2021,maruti,maruti eeco cargo,5 speed,2,power,4,1,165,61.68,85.0,11,500000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,320000.0
2014,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.9,110.0,24,570000.0
2015,maruti,maruti alto k10,5 speed,4,power,3,0,145,58.3,78.0,16,260000.0
2015,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.9,110.0,24,715000.0
2019,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,19,330000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,410000.0
